No.,Order,CGS,,,MGS,,,H,,,G
,,Orth.,Time(s),R.Err,Orth.,Time(s),R.Err,Orth.,Time(s),R.Err,Orth.,Time(s),R.Err
84,1142,5.4369e-12,0.429,1.1321e+00,5.4369e-12,0.433,1.1321e+00,1.1654e-13,0.981,2.2813e-15,1.7431e-13,0.992,4.0756e-15
85,1246,8.4791e-12,0.570,1.5916e-02,8.4791e-12,0.613,1.5916e-02,1.2726e-13,1.399,2.3743e-15,1.9157e-13,1.461,4.3899e-15
86,1580,2.1312e-11,1.425,6.0811e-16,2.1312e-11,1.639,6.0811e-16,1.6135e-13,4.644,2.6905e-15,2.4193e-13,2.956,4.7099e-15
87,1431,1.2857e-11,1.008,5.9914e-16,1.2857e-11,1.116,5.9914e-16,1.4592e-13,2.904,2.5559e-15,2.1823e-13,2.517,4.3965e-15
88,679,9.2755e-13,0.104,5.3244e-16,9.2755e-13,0.109,5.3244e-16,7.1826e-14,0.075,1.8551e-15,1.0419e-13,0.223,3.1216e-15
89,1676,2.6555e-11,1.696,6.1356e-16,2.6555e-11,1.772,6.1356e-16,1.6994e-13,5.503,2.5995e-15,2.5673e-13,3.434,4.8244e-15
90,1508,1.6986e-11,1.118,6.0275e-16,1.6986e-11,1.303,6.0275e-16,1.5056e-13,4.349,2.4982e-15,2.3125e-13,2.477,4.4171e-15
91,1493,1.6781e-11,1.071,6.0008e-16,1.6781e-11,1.205,6.0008e-16,1.5273e-13,3.323,2.7023e-15,2.3034e-13,2.448,4.6344e-15
92,1526,2.1705e-11,1.113,6.0241e-16,2.1705e-11,1.241,6.0241e-16,1.5459e-13,3.452,2.7202e-15,2.3054e-13,2.573,4.6190e-15
93,1324,1.0086e-11,0.766,5.9262e-16,1.0086e-11,0.853,5.9262e-16,1.3379e-13,4.381,2.4153e-15,2.0420e-13,1.696,4.3473e-15
94,846,1.8824e-12,0.170,5.1475e-01,1.8824e-12,0.174,5.1475e-01,8.8260e-14,0.197,2.0500e-15,1.2874e-13,0.356,3.4240e-15
95,1588,2.1443e-11,1.381,6.1549e-05,2.1443e-11,1.498,6.1549e-05,1.5974e-13,7.089,2.6257e-15,2.4272e-13,3.157,4.7071e-15
96,1546,2.0485e-11,2.450,6.0724e-16,2.0485e-11,1.355,6.0724e-16,1.5627e-13,4.144,2.5186e-15,2.3444e-13,2.618,4.4824e-15
97,920,2.7158e-12,0.219,5.6097e-16,2.7158e-12,0.215,5.6097e-16,9.5330e-14,0.329,2.0501e-15,1.3997e-13,0.466,3.6419e-15
98,1961,6.5066e-11,2.533,6.2931e-16,6.5066e-11,2.998,6.2931e-16,1.9983e-13,10.070,2.8448e-15,2.9707e-13,6.222,5.1199e-15
99,1533,2.0259e-11,1.571,6.0499e-16,2.0259e-11,1.594,6.0499e-16,1.5504e-13,5.579,2.5413e-15,2.3551e-13,2.972,4.6783e-15
100,1875,5.2706e-11,2.408,6.2093e-16,5.2706e-11,3.015,6.2093e-16,1.9035e-13,7.688,2.8805e-15,2.8759e-13,5.493,5.0151e-15
